rank,fg_id,roto_points,name,PA,HR,R,RBI,SB,IP,W,SV,K,AVG,ERA,WHIP,role,hindsight_$,drafted_$,team,current_$,contract,bargain
674,29710,0.9875558683905166,Cam Cauley,158.0,3.0,22.0,10.0,3.0,0.0,0.0,0.0,0.0,0.21379310344827587,,,HIT,0.0,,,,,
675,21524,0.9726748669092911,Joey Bart,156.0,5.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,,,HIT,0.0,,,,,
676,16814,0.9676651053052204,Tim Hill,0.0,0.0,0.0,0.0,0.0,61.0,5.0,1.0,29.0,,4.573770491803279,1.1967213114754098,PIT,0.0,,,,,
677,29958,0.9587374938282669,Harry Ford,106.0,3.0,14.0,13.0,2.0,0.0,0.0,0.0,0.0,0.22340425531914893,,,HIT,0.0,,,,,
678,27497,0.9584408711266135,Tyler Callihan,126.0,3.0,15.0,17.0,1.0,3.0,0.0,0.0,1.0,0.21052631578947367,0.0,2.0,TWO,0.0,,,,,
679,23798,0.9538787370114341,Randy Dobnak,0.0,0.0,0.0,0.0,0.0,74.0,4.0,0.0,44.0,,3.4054054054054053,1.4189189189189189,PIT,0.0,,,,,
680,29554,0.9496001937615751,Adrian Del Castillo,201.0,5.0,19.0,25.0,1.0,1.2,0.0,0.0,0.0,0.20218579234972678,7.5,2.5,TWO,0.0,,,,,
681,24282,0.9482168006586651,Kai-Wei Teng,0.0,0.0,0.0,0.0,0.0,83.1,6.0,0.0,81.0,,4.44043321299639,1.3598074608904935,PIT,0.0,,,,,
682,24862,0.94786360162198,Ryan Fernandez,0.0,0.0,0.0,0.0,0.0,24.1,2.0,0.0,33.0,,3.3609958506224062,1.3692946058091287,PIT,0.0,,,,,
683,33492,0.9462496014347708,Jim Jarvis,180.0,1.0,19.0,18.0,1.0,0.0,0.0,0.0,0.0,0.22560975609756098,,,HIT,0.0,,,,,
684,25782,0.9266933345125145,Pedro Pagés,224.0,5.0,17.0,16.0,2.0,0.0,0.0,0.0,0.0,0.2107843137254902,,,HIT,0.0,,,,,
685,29189,0.925038632506209,Héctor Rodríguez,122.0,3.0,14.0,12.0,2.0,0.0,0.0,0.0,0.0,0.22807017543859648,,,HIT,0.0,,,,,
686,25817,0.9232260241989326,Braden Shewmake,91.0,3.0,12.0,10.0,1.0,0.0,0.0,0.0,0.0,0.25301204819277107,,,HIT,0.0,,,,,
687,27770,0.9203619471527218,,100.0,2.0,11.0,11.0,3.0,0.0,0.0,0.0,0.0,0.24444444444444444,,,HIT,0.0,,Spehr's Army,10.0,2,-10.0
688,19522,0.9185882028984,TJ Friedl,336.0,5.0,30.0,20.0,7.0,0.0,0.0,0.0,0.0,0.17940199335548174,,,HIT,0.0,,,,,
689,29914,0.9152884857722465,Andrew Alvarez,0.0,0.0,0.0,0.0,0.0,106.1,4.0,1.0,95.0,,3.9019792648444867,1.404335532516494,PIT,0.0,,,,,
690,7802,0.9135693395896456,Miguel Rojas,238.0,4.0,23.0,23.0,1.0,4.0,0.0,0.0,0.0,0.2777777777777778,13.5,2.5,TWO,0.0,,,,,
691,28846,0.9062042322637822,Alimber Santa,0.0,0.0,0.0,0.0,0.0,27.1,0.0,0.0,20.0,,2.6568265682656826,1.1439114391143912,PIT,0.0,,,,,
692,35107,0.9024547484360445,Tommy White,188.0,2.0,18.0,12.0,0.0,0.0,0.0,0.0,0.0,0.2413793103448276,,,HIT,0.0,,,,,
693,29957,0.8927901946856173,Edwin Arroyo,188.0,0.0,18.0,9.0,2.0,0.0,0.0,0.0,0.0,0.25146198830409355,,,HIT,0.0,,,,,
694,14295,0.8835952601990491,Wandy Peralta,0.0,0.0,0.0,0.0,0.0,75.0,3.0,0.0,48.0,,3.48,1.3733333333333333,PIT,0.0,,,,,
695,19260,0.8818737148693967,Jake Fraley,125.0,3.0,10.0,8.0,4.0,0.0,0.0,0.0,0.0,0.23893805309734514,,,HIT,0.0,,,,,
696,27787,0.8806067060688691,Will Klein,0.0,0.0,0.0,0.0,0.0,44.2,3.0,2.0,51.0,,3.665158371040724,1.5610859728506787,PIT,0.0,,,,,
697,33312,0.8609493251996511,Brett Bateman,114.0,1.0,12.0,10.0,3.0,0.0,0.0,0.0,0.0,0.24752475247524752,,,HIT,0.0,,,,,
698,31533,0.8583997477714507,Victor Mederos,1.0,0.0,0.0,2.0,0.0,30.1,3.0,1.0,26.0,1.0,4.485049833887043,1.2956810631229236,TWO,0.0,,,,,
699,29812,0.8574028151933275,Robert Gasser,0.0,0.0,0.0,0.0,0.0,89.0,4.0,0.0,82.0,,4.550561797752809,1.2359550561797752,PIT,0.0,,,,,
700,33380,0.8564679494807539,Drew Cavanaugh,179.0,2.0,14.0,15.0,2.0,0.0,0.0,0.0,0.0,0.22641509433962265,,,HIT,0.0,,,,,
701,25690,0.8487753745609614,Grant McCray,130.0,3.0,17.0,11.0,7.0,0.0,0.0,0.0,0.0,0.1694915254237288,,,HIT,0.0,,,,,
702,20151,0.8334767967314142,James Karinchak,0.0,0.0,0.0,0.0,0.0,20.2,1.0,0.0,21.0,,3.118811881188119,1.188118811881188,PIT,0.0,,,,,
703,11737,0.8270661471739665,Nick Castellanos,122.0,4.0,9.0,20.0,2.0,0.0,0.0,0.0,0.0,0.1891891891891892,,,HIT,0.0,,,,,
704,31354,0.8270284157320098,Jimmy Crooks,185.0,6.0,14.0,19.0,0.0,0.0,0.0,0.0,0.0,0.19642857142857142,,,HIT,0.0,,,,,
705,26599,0.8248464275081748,Jonatan Clase,55.0,3.0,8.0,10.0,2.0,0.0,0.0,0.0,0.0,0.24,,,HIT,0.0,,,,,
706,21656,0.8225229097248943,Kervin Castro,0.0,0.0,0.0,0.0,0.0,15.1,1.0,0.0,17.0,,2.980132450331126,1.1258278145695364,PIT,0.0,,,,,
707,10078,0.8203172641503139,Caleb Thielbar,0.0,0.0,0.0,0.0,0.0,50.2,4.0,3.0,59.0,,5.199203187250996,1.3147410358565736,PIT,0.0,,,,,
708,28022,0.8191713039556,Edgar Quero,254.0,4.0,17.0,22.0,1.0,0.0,0.0,0.0,0.0,0.20434782608695654,,,HIT,0.0,,,,,
709,33323,0.8110315554780396,Charles McAdoo,85.0,4.0,9.0,12.0,2.0,0.0,0.0,0.0,0.0,0.2077922077922078,,,HIT,0.0,,,,,
710,26247,0.8055705951491443,Orlando Ribalta,0.0,0.0,0.0,0.0,0.0,52.0,0.0,3.0,47.0,,3.8076923076923075,1.2884615384615385,PIT,0.0,,,,,
711,29577,0.7959278868051839,Ben Malgeri,81.0,2.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.2602739726027397,,,HIT,0.0,,,,,
712,27597,0.7956231618988491,Cody Bradford,0.0,0.0,0.0,0.0,0.0,44.1,2.0,0.0,32.0,,3.877551020408163,1.2244897959183674,PIT,0.0,,,,,
713,24488,0.7836685930607329,Max Schuemann,94.0,2.0,18.0,9.0,3.0,1.0,0.0,0.0,0.0,0.18823529411764706,0.0,2.0,TWO,0.0,,,,,
714,31431,0.7822552839542942,Jordan Beck,156.0,2.0,13.0,15.0,3.0,0.0,0.0,0.0,0.0,0.2112676056338028,,,HIT,0.0,,,,,
715,19734,0.7790159384435071,Josh Rojas,99.0,1.0,9.0,10.0,2.0,1.0,0.0,0.0,0.0,0.24444444444444444,0.0,1.0,TWO,0.0,,,,,
716,31363,0.7772389248563437,Graham Pauley,168.0,2.0,16.0,19.0,2.0,0.0,0.0,0.0,0.0,0.19736842105263158,,,HIT,0.0,,,,,
717,31884,0.7726205142471719,Logan VanWey,0.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,11.0,,2.769230769230769,1.0769230769230769,PIT,0.0,,,,,
718,33357,0.7675649046270688,Andrew Pinckney,54.0,2.0,9.0,7.0,3.0,0.0,0.0,0.0,0.0,0.24489795918367346,,,HIT,0.0,,,,,
719,26224,0.7641996278169113,Darell Hernaiz,141.0,1.0,13.0,8.0,3.0,0.0,0.0,0.0,0.0,0.24031007751937986,,,HIT,0.0,,,,,
720,27863,0.7463766455286076,Jared Jones,0.0,0.0,0.0,0.0,0.0,95.0,4.0,0.0,100.0,,4.7368421052631575,1.2421052631578948,PIT,0.0,,Spehr's Army,10.0,1,-10.0
721,21345,0.7459228722832577,Bennett Sousa,0.0,0.0,0.0,0.0,0.0,27.0,1.0,0.0,30.0,,3.3333333333333335,1.2962962962962963,PIT,0.0,,,,,
722,16977,0.7412413145892215,Trevor Williams,0.0,0.0,0.0,0.0,0.0,30.1,1.0,0.0,29.0,,3.2890365448504983,1.2956810631229236,PIT,0.0,,,,,
723,25346,0.7400890139526792,Ronny Simon,66.0,1.0,9.0,6.0,3.0,0.0,0.0,0.0,0.0,0.26666666666666666,,,HIT,0.0,,,,,
724,26214,0.7370217585050252,Chris Murphy,0.0,0.0,0.0,0.0,0.0,39.0,3.0,1.0,37.0,,4.153846153846154,1.3846153846153846,PIT,0.0,,,,,
725,27449,0.7317081287198832,Ryan Ward,65.0,3.0,9.0,13.0,0.0,0.0,0.0,0.0,0.0,0.21666666666666667,,,HIT,0.0,,,,,
726,27514,0.7298352745861431,Kyle Hurt,0.0,0.0,0.0,0.0,0.0,49.1,4.0,1.0,58.0,,4.582484725050916,1.405295315682281,PIT,0.0,,,,,
727,12859,0.7284330453188219,James McCann,150.0,5.0,15.0,26.0,0.0,4.0,0.0,0.0,0.0,0.2826086956521739,11.25,3.0,TWO,0.0,,,,,
728,24453,0.724166840486176,,0.0,0.0,0.0,0.0,0.0,12.0,1.0,2.0,15.0,,3.75,1.3333333333333333,PIT,0.0,,,,,
729,19330,0.7172526686340633,Matt Festa,0.0,0.0,0.0,0.0,0.0,64.0,3.0,1.0,68.0,,4.21875,1.375,PIT,0.0,,,,,
730,34847,0.7141827519344235,Tyler Davis,0.0,0.0,0.0,0.0,0.0,37.1,3.0,1.0,32.0,,4.366576819407008,1.320754716981132,PIT,0.0,,,,,
731,15161,0.7140085623132274,Mitch Garver,154.0,4.0,18.0,16.0,1.0,0.0,0.0,0.0,0.0,0.17857142857142858,,,HIT,0.0,,,,,
732,18795,0.7094426901125253,Ramón Urías,133.0,4.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,0.19834710743801653,,,HIT,0.0,,,,,
733,16622,0.7065599925364886,Luis Urías,73.0,3.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.25757575757575757,,,HIT,0.0,,,,,
734,30109,0.7050033110156108,Nate Lavender,0.0,0.0,0.0,0.0,0.0,18.1,1.0,1.0,22.0,,3.480662983425414,1.3259668508287292,PIT,0.0,,,,,
735,13346,0.7048213642255045,Hoby Milner,0.0,0.0,0.0,0.0,0.0,48.2,1.0,1.0,28.0,,3.734439834024896,1.2240663900414936,PIT,0.0,,,,,
736,26991,0.7036180917203514,Jesus Rodriguez,78.0,2.0,9.0,10.0,1.0,0.0,0.0,0.0,0.0,0.23943661971830985,,,HIT,0.0,,,,,
737,21992,0.7035563799420499,Camilo Doval,0.0,0.0,0.0,0.0,0.0,58.2,4.0,1.0,60.0,,4.484536082474227,1.3745704467353952,PIT,0.0,,,,,
738,27485,0.7023108209757466,Garrett Stallings,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,18.0,,2.8421052631578947,1.105263157894737,PIT,0.0,,,,,
739,10472,0.6985696106769894,Enrique Hernández,89.0,3.0,11.0,9.0,0.0,0.0,0.0,0.0,0.0,0.23170731707317074,,,HIT,0.0,,,,,
740,33270,0.6975073678629895,Jonah Cox,44.0,1.0,7.0,4.0,5.0,0.0,0.0,0.0,0.0,0.2564102564102564,,,HIT,0.0,,,,,
741,20379,0.6957287707147537,Tyler Zuber,0.0,0.0,0.0,0.0,0.0,36.1,2.0,1.0,41.0,,4.238227146814404,1.3296398891966759,PIT,0.0,,,,,
742,31615,0.6908290411070614,William Kempner,0.0,0.0,0.0,0.0,0.0,17.1,1.0,0.0,19.0,,3.6842105263157894,1.111111111111111,PIT,0.0,,,,,
743,19802,0.6860564616370534,Jhonny Pereda,108.0,2.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.25510204081632654,,,HIT,0.0,,,,,
744,31855,0.6811373435608017,Colby Thomas,126.0,4.0,12.0,12.0,1.0,0.0,0.0,0.0,0.0,0.2,,,HIT,0.0,,,,,
745,24934,0.6784377937313739,David Fry,173.0,6.0,17.0,14.0,0.0,0.0,0.0,0.0,0.0,0.18354430379746836,,,HIT,0.0,,,,,
746,18551,0.6741818145538615,Ali Sánchez,91.0,2.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.25301204819277107,,,HIT,0.0,,,,,
747,21562,0.6738458137587885,Romy Gonzalez,112.0,2.0,12.0,12.0,2.0,0.0,0.0,0.0,0.0,0.20588235294117646,,,HIT,0.0,,,,,
748,29630,0.6623827018150281,Joey Loperfido,124.0,1.0,13.0,12.0,1.0,0.0,0.0,0.0,0.0,0.22321428571428573,,,HIT,0.0,,,,,
749,19452,0.6598318354428178,Jake Rogers,128.0,3.0,15.0,11.0,1.0,2.1,0.0,0.0,3.0,0.18803418803418803,0.0,1.9047619047619047,TWO,0.0,,,,,
750,15551,0.6593888946863388,Mark Leiter Jr.,0.0,0.0,0.0,0.0,0.0,33.2,0.0,4.0,37.0,,4.337349397590361,1.2951807228915662,PIT,0.0,,,,,
751,31872,0.6573517728090322,Cade Horton,0.0,0.0,0.0,0.0,0.0,7.1,1.0,0.0,4.0,,2.535211267605634,0.8450704225352114,PIT,0.0,14.0,Spehr's Army,14.0,2,-14.0
752,29704,0.6514872379621743,Braxton Fulford,76.0,1.0,13.0,8.0,4.0,0.0,0.0,0.0,0.0,0.18840579710144928,,,HIT,0.0,,,,,
753,21487,0.6499186260182648,Stephen Kolek,0.0,0.0,0.0,0.0,0.0,54.0,4.0,0.0,34.0,,4.5,1.2407407407407407,PIT,0.0,,,,,
754,26047,0.6376424669618753,Jase Bowen,103.0,2.0,14.0,9.0,5.0,0.0,0.0,0.0,0.0,0.1702127659574468,,,HIT,0.0,,,,,
755,30203,0.6338778913518314,Jackson Jobe,0.0,0.0,0.0,0.0,0.0,30.0,2.0,0.0,23.0,,3.9,1.2666666666666666,PIT,0.0,,The Fighting Phils,10.0,2,-10.0
756,16535,0.6291868303342067,Danny Jansen,197.0,5.0,17.0,18.0,1.0,0.0,0.0,0.0,0.0,0.17613636363636365,,,HIT,0.0,,,,,
757,26466,0.6220954738427213,Matt Wallner,163.0,5.0,18.0,14.0,0.0,0.0,0.0,0.0,0.0,0.17687074829931973,,,HIT,0.0,,,,,
758,30061,0.6201471959702225,Will Dion,0.0,0.0,0.0,0.0,0.0,37.1,2.0,0.0,38.0,,4.123989218328841,1.2938005390835579,PIT,0.0,,,,,
759,29524,0.6094320971260047,Bryce Teodosio,89.0,0.0,9.0,5.0,6.0,0.0,0.0,0.0,0.0,0.2222222222222222,,,HIT,0.0,,,,,
760,13932,0.5968878735809131,Dietrich Enns,0.0,0.0,0.0,0.0,0.0,16.0,3.0,0.0,13.0,,3.9375,1.5,PIT,0.0,,,,,
761,18577,0.594714506760631,Ke'Bryan Hayes,311.0,6.0,27.0,19.0,3.0,0.0,0.0,0.0,0.0,0.17253521126760563,,,HIT,0.0,,,,,
762,13152,0.5908956285190309,Jorge Polanco,240.0,6.0,18.0,18.0,1.0,0.0,0.0,0.0,0.0,0.17972350230414746,,,HIT,0.0,,,,,
763,19921,0.589190502587076,Blake Perkins,121.0,1.0,17.0,13.0,4.0,0.0,0.0,0.0,0.0,0.16363636363636364,,,HIT,0.0,,,,,
764,29573,0.5873232776521812,Billy Cook,54.0,0.0,12.0,3.0,5.0,0.0,0.0,0.0,0.0,0.20408163265306123,,,HIT,0.0,,,,,
765,31443,0.5828876276176849,Sterlin Thompson,82.0,2.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.22666666666666666,,,HIT,0.0,,,,,
766,24602,0.5786343847286609,Drew Rom,0.0,0.0,0.0,0.0,0.0,16.2,2.0,0.0,21.0,,3.888888888888889,1.4197530864197532,PIT,0.0,,,,,
767,12317,0.5776253082272975,Colin Rea,0.0,0.0,0.0,0.0,0.0,136.2,9.0,1.0,102.0,,4.6255506607929515,1.365638766519824,PIT,0.0,,,,,
768,25921,0.577331216228341,Casey Legumina,0.0,0.0,0.0,0.0,0.0,64.2,3.0,0.0,46.0,,4.205607476635514,1.277258566978193,PIT,0.0,,,,,
769,29934,0.5772728305737068,Riley Martin,0.0,0.0,0.0,0.0,0.0,8.1,0.0,0.0,10.0,,2.2222222222222223,0.8641975308641976,PIT,0.0,,,,,
770,13942,0.572832151085618,Brent Suter,0.0,0.0,0.0,0.0,0.0,82.1,1.0,0.0,71.0,,3.9464068209500613,1.2789281364190013,PIT,0.0,,,,,
771,27583,0.5713659824654979,Garrett Acton,0.0,0.0,0.0,0.0,0.0,13.2,1.0,0.0,15.0,,3.409090909090909,1.2121212121212122,PIT,0.0,,,,,
772,16933,0.5699954540947678,Elieser Hernández,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,6.0,,1.5,1.6666666666666667,PIT,0.0,,,,,
773,26406,0.5664767444667682,Ben Peoples,0.0,0.0,0.0,0.0,0.0,24.1,1.0,0.0,16.0,,3.3609958506224062,1.2448132780082988,PIT,0.0,,,,,
774,23792,0.5650446185045586,Alek Thomas,102.0,2.0,12.0,10.0,4.0,0.0,0.0,0.0,0.0,0.17204301075268819,,,HIT,0.0,,,,,
775,30195,0.564779309734474,Franco Aleman,0.0,0.0,0.0,0.0,0.0,29.1,1.0,0.0,36.0,,3.7113402061855667,1.3402061855670102,PIT,0.0,,,,,
776,31920,0.5647303592156026,Tyler Schweitzer,0.0,0.0,0.0,0.0,0.0,32.2,1.0,1.0,18.0,,3.354037267080745,1.3354037267080745,PIT,0.0,,,,,
777,31166,0.5591158571433305,,65.0,2.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.23728813559322035,,,HIT,0.0,,,,,
778,19361,0.5563590498889258,,0.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,12.0,,3.4615384615384617,1.1538461538461537,PIT,0.0,,,,,
779,14706,0.5551137663250819,Anthony Banda,0.0,0.0,0.0,0.0,0.0,34.1,2.0,2.0,33.0,,4.486803519061583,1.348973607038123,PIT,0.0,,,,,
780,21205,0.5530346385415821,Connor Brogdon,0.0,0.0,0.0,0.0,0.0,15.1,2.0,1.0,14.0,,5.364238410596027,1.1258278145695364,PIT,0.0,,,,,
781,18030,0.544554496879002,Harrison Bader,111.0,5.0,10.0,14.0,0.0,0.0,0.0,0.0,0.0,0.16831683168316833,,,HIT,0.0,,,,,
782,19722,0.5409208337371385,Carlos Narváez,307.0,5.0,25.0,18.0,1.0,0.0,0.0,0.0,0.0,0.18411552346570398,,,HIT,0.0,,,,,
783,17479,0.532970777516371,Jack Flaherty,0.0,0.0,0.0,0.0,0.0,110.1,5.0,0.0,129.0,,4.4959128065395095,1.3987284287011807,PIT,0.0,2.0,NPB No Stars,2.0,2,-2.0
784,22370,0.531823276031585,Raymond Burgos,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,9.0,,3.75,0.9166666666666666,PIT,0.0,,,,,
785,22197,0.527643300988893,MJ Melendez,144.0,4.0,14.0,11.0,0.0,0.0,0.0,0.0,0.0,0.19083969465648856,,,HIT,0.0,,,,,
786,19618,0.5271421207348941,Jordan Hicks,0.0,0.0,0.0,0.0,0.0,51.0,2.0,2.0,57.0,,3.8823529411764706,1.5098039215686274,PIT,0.0,,,,,
787,19997,0.5185221319760518,Santiago Espinal,71.0,1.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.26153846153846155,,,HIT,0.0,,,,,
788,7739,0.5108720682641986,Travis d'Arnaud,112.0,3.0,11.0,9.0,0.0,0.0,0.0,0.0,0.0,0.20588235294117646,,,HIT,0.0,,,,,
789,19422,0.5043550159854375,Brian Serven,80.0,3.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.2054794520547945,,,HIT,0.0,,,,,
790,25705,0.5033146021771608,Dustin Harris,52.0,0.0,6.0,5.0,4.0,0.0,0.0,0.0,0.0,0.23404255319148937,,,HIT,0.0,,,,,
791,26227,0.49577948662723725,Alec Gamboa,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,20.0,,3.6,1.36,PIT,0.0,,,,,
792,24248,0.4948180297400152,Eddy Yean,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,16.0,,3.4285714285714284,1.0952380952380953,PIT,0.0,,,,,
793,12970,0.47878991177632113,,0.0,0.0,0.0,0.0,0.0,23.0,1.0,0.0,21.0,,3.9130434782608696,1.2173913043478262,PIT,0.0,,,,,
794,23443,0.47854363332495775,Tom Cosgrove,0.0,0.0,0.0,0.0,0.0,25.2,1.0,2.0,22.0,,4.285714285714286,1.3095238095238095,PIT,0.0,,,,,
795,21649,0.477793155466125,Luis Medina,0.0,0.0,0.0,0.0,0.0,70.2,3.0,1.0,79.0,,4.102564102564102,1.4672364672364673,PIT,0.0,,,,,
796,30081,0.4768049908049634,Tyler Samaniego,0.0,0.0,0.0,0.0,0.0,31.1,1.0,0.0,26.0,,3.183279742765273,1.4147909967845658,PIT,0.0,,,,,
797,22272,0.47643264549683867,Raynel Delgado,55.0,1.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,0.26,,,HIT,0.0,,,,,
798,37124,0.4763589057117963,Tatsuya Imai,0.0,0.0,0.0,0.0,0.0,89.2,8.0,0.0,109.0,,5.145739910313901,1.412556053811659,PIT,0.0,8.0,,,,
799,25427,0.4686251382862586,Gavin Hollowell,0.0,0.0,0.0,0.0,0.0,16.1,0.0,1.0,15.0,,2.795031055900621,1.3664596273291925,PIT,0.0,,,,,
800,25643,0.4672209476425707,Drew Millas,160.0,2.0,19.0,12.0,0.0,0.0,0.0,0.0,0.0,0.18620689655172415,,,HIT,0.0,,,,,
801,31913,0.4658924156038274,,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,11.0,,3.6,1.2,PIT,0.0,,,,,
802,17192,0.46535687987732777,Jalen Beeks,0.0,0.0,0.0,0.0,0.0,26.0,2.0,0.0,21.0,,3.8076923076923075,1.3846153846153846,PIT,0.0,,,,,
803,10197,0.46295759025080846,,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,7.0,,3.857142857142857,1.0,PIT,0.0,,,,,
804,31991,0.46079610509981844,Rafael Flores Jr.,69.0,2.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0,0.24193548387096775,0.0,2.0,TWO,0.0,,,,,
805,17232,0.4546846831603334,Yoán Moncada,145.0,3.0,11.0,12.0,1.0,0.0,0.0,0.0,0.0,0.19083969465648856,,,HIT,0.0,,,,,
806,23989,0.45420539751660827,Junior Perez,46.0,3.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.1951219512195122,,,HIT,0.0,,,,,
807,20521,0.4491957783764381,Nick Madrigal,61.0,0.0,8.0,3.0,1.0,0.0,0.0,0.0,0.0,0.2727272727272727,,,HIT,0.0,,,,,
808,24759,0.44762549982861255,Mickey Gasper,119.0,0.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.24074074074074073,,,HIT,0.0,,,,,
809,13607,0.44358134509347963,Carl Edwards Jr.,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,11.0,,1.5,1.1666666666666667,PIT,0.0,,,,,
810,29423,0.44297247402792894,Kendry Rojas,0.0,0.0,0.0,0.0,0.0,46.2,2.0,0.0,49.0,,3.701298701298701,1.4718614718614718,PIT,0.0,,,,,
811,27590,0.44133385415408033,Jake Eder,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,,2.25,1.0,PIT,0.0,,,,,
812,19352,0.4370835071351055,Sean Murphy,105.0,3.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.1935483870967742,,,HIT,0.0,,,,,
813,25779,0.43368178105800403,Tyler Tolbert,156.0,4.0,31.0,11.0,21.0,4.2,0.0,0.0,0.0,0.2907801418439716,25.71428571428571,4.285714285714286,TWO,0.0,,,,,
814,23800,0.43166139098173717,Parker Meadows,54.0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.25,,,HIT,0.0,,,,,
815,15009,0.4310042650393875,Kyle Finnegan,0.0,0.0,0.0,0.0,0.0,66.0,3.0,3.0,51.0,,3.8181818181818183,1.5303030303030303,PIT,0.0,,,,,
816,31988,0.42807175630012534,Nate Furman,57.0,1.0,7.0,6.0,1.0,0.0,0.0,0.0,0.0,0.22448979591836735,,,HIT,0.0,,,,,
817,29574,0.4263086765520625,Chase Lee,0.0,0.0,0.0,0.0,0.0,20.0,2.0,1.0,14.0,,4.05,1.45,PIT,0.0,,,,,
818,32026,0.42583527130787635,Drew Sommers,0.0,0.0,0.0,0.0,0.0,36.0,1.0,0.0,45.0,,3.75,1.4166666666666667,PIT,0.0,,,,,
819,14361,0.41903669274195904,Ty Blach,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,,0.0,0.3333333333333333,PIT,0.0,,,,,
820,20450,0.4176301516019184,Brewer Hicklen,27.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.375,,,HIT,0.0,,,,,
821,11189,0.4151293310699832,Vince Velasquez,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,1.0,,0.0,0.3225806451612903,PIT,0.0,,,,,
822,25139,0.41496687863865156,Tim Herrin,0.0,0.0,0.0,0.0,0.0,55.1,2.0,0.0,49.0,,3.7568058076225044,1.4156079854809438,PIT,0.0,,,,,
823,31857,0.4082300748825749,Connor Prielipp,0.0,0.0,0.0,0.0,0.0,111.2,5.0,0.0,117.0,,4.694244604316546,1.330935251798561,PIT,0.0,,,,,
824,31562,0.40274462690423196,Zach Dezenzo,87.0,1.0,12.0,4.0,1.0,0.0,0.0,0.0,0.0,0.2125,,,HIT,0.0,,,,,
825,25845,0.4027115772042545,Michael Toglia,38.0,2.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.23529411764705882,,,HIT,0.0,,,,,
826,22558,0.4007901961542776,Jarred Kelenic,95.0,2.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.21839080459770116,,,HIT,0.0,,,,,
827,21853,0.40071127500961146,Will Benson,122.0,3.0,12.0,7.0,1.0,0.0,0.0,0.0,0.0,0.1891891891891892,,,HIT,0.0,,,,,
828,18848,0.40064218729035744,Yohel Pozo,57.0,1.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.24528301886792453,,,HIT,0.0,,,,,
829,25611,0.38963544088086016,Antoine Kelly,0.0,0.0,0.0,0.0,0.0,10.1,1.0,0.0,10.0,,3.5643564356435644,1.2871287128712872,PIT,0.0,,,,,
830,24914,0.3882185849007413,Lazaro Estrada,0.0,0.0,0.0,0.0,0.0,25.0,2.0,1.0,18.0,,4.68,1.28,PIT,0.0,,,,,
831,30003,0.3860185698874926,Mitch Bratt,0.0,0.0,0.0,0.0,0.0,55.2,2.0,0.0,44.0,,3.913043478260869,1.358695652173913,PIT,0.0,,,,,
832,16153,0.37827141854579954,Austin Slater,74.0,0.0,6.0,3.0,4.0,0.0,0.0,0.0,0.0,0.22388059701492538,,,HIT,0.0,,,,,
833,25942,0.37626795884761177,Andrew Nardi,0.0,0.0,0.0,0.0,0.0,25.2,3.0,0.0,30.0,,5.0,1.3888888888888888,PIT,0.0,,,,,
834,21735,0.37360686299920604,Sebastián Rivero,57.0,0.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.25,,,HIT,0.0,,,,,
835,29949,0.3696691115557279,Tyler Black,28.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.32,,,HIT,0.0,,,,,
